Pasta,Documento,Tipo,Link
01_apoio/cap/curriculos,CV-Silvio-Baroni_SEPG-GPC.pdf,pdf,https://drive.google.com/file/d/1rC4NvQveAUCAWQOkNiU8VvlVX2AkTN6i/view?usp=drivesdk
01_apoio/cap/curriculos,CV-Wilson-Yamada_Sponsor-Portfolio.pdf,pdf,https://drive.google.com/file/d/11gRQH_6m7Eq1ojWkfu6hRK_AqTqY65ak/view?usp=drivesdk
02_projeto,GUIA-GPR-001_Roteiro-de-Kickoff.docx,docx,https://drive.google.com/file/d/1Iqum1Ej_iNdiaXLJ3I1sp0JrI0iWUvnk/view?usp=drivesdk
02_projeto,PRO-GPR-001_Processo-de-Gerencia-de-Projetos.docx,docx,https://drive.google.com/file/d/1EWyaanDh-iLbsEOhoz5E62LDSuGvmTij/view?usp=drivesdk
02_projeto,PRO-ITP-001_Processo-de-Integracao-do-Produto.docx,docx,https://drive.google.com/file/d/11NtIkxH-4lYyR7a53UTbDIMAfxzzNmL6/view?usp=drivesdk
02_projeto,PRO-PCP-001_Processo-de-Projeto-e-Construcao-do-Produto.docx,docx,https://drive.google.com/file/d/1s0FDXL-yA-t3Q9yzDXdUt_0a8xDtib7F/view?usp=drivesdk
02_projeto,PRO-REQ-001_Processo-de-Engenharia-de-Requisitos.docx,docx,https://drive.google.com/file/d/1ym-pv-GPmpf_t1ir19bOtfIgJZyX0BPt/view?usp=drivesdk
02_projeto,PRO-VV-001_Processo-de-Verificacao-e-Validacao.docx,docx,https://drive.google.com/file/d/18yE_PzywceT3Z60vRqPC-yJjw4Su3528/view?usp=drivesdk
03_templates,EXEMPLO-GPR-005_Status-Report-Exemplo-Preenchido.docx,docx,https://drive.google.com/file/d/1L0rob_f1ODSOZXHoXgV_w_znX6JwKNga/view?usp=drivesdk
03_templates,TPL-GDE-001_Template-Registro-de-Analise-de-Decisao.docx,docx,https://drive.google.com/file/d/1wHbMGhvGpwUGtEj4oPQQ1KV97zLwEy7n/view?usp=drivesdk
03_templates,TPL-GPC-001_Template-Registro-de-Verificacao-de-GQA.docx,docx,https://drive.google.com/file/d/19rnaNwNh_stfJKjPUPjCKs5Yl6USfbxY/view?usp=drivesdk
03_templates,TPL-GPR-001_Template-Plano-de-Projeto.docx,docx,https://drive.google.com/file/d/190E2DG0B4jgwqg4oJ8uTXDUNNd1ROXkM/view?usp=drivesdk
03_templates,TPL-GPR-002_Template-Termo-de-Abertura.docx,docx,https://drive.google.com/file/d/1dFy9pqLoURReKkf88DW9zlI5isnqV9BG/view?usp=drivesdk
03_templates,TPL-GPR-003_Template-Registro-de-Adaptacao.docx,docx,https://drive.google.com/file/d/1oKWodTuwtumhMDYy6eGs2cIuaJDT828w/view?usp=drivesdk
03_templates,TPL-GPR-004_Template-Termo-de-Encerramento.docx,docx,https://drive.google.com/file/d/1NgZq_uG9A-W3qCyb89O4VDZBpJf5QeKR/view?usp=drivesdk
03_templates,TPL-GPR-005_Template-Relatorio-de-Acompanhamento.docx,docx,https://drive.google.com/file/d/1RrYtWXZU-EYDEKO8RRN7cWL8eDs7eJBr/view?usp=drivesdk
03_templates,TPL-GPR-006_Template-Change-Request.docx,docx,https://drive.google.com/file/d/1eA_EZaEl4h-zUvvmULGvgDT-f_zzSARu/view?usp=drivesdk
03_templates,TPL-ITP-001_Template-Estrategia-de-Integracao.docx,docx,https://drive.google.com/file/d/1mj5YGF4Ph8FMqz3DRx8ti-vrPmrFZiAb/view?usp=drivesdk
03_templates,TPL-ORG-001_Template-Ata-de-Reuniao.docx,docx,https://drive.google.com/file/d/1TcB0DCLd2cfon4P5-t6SmMDQ2H8DiNLL/view?usp=drivesdk
03_templates,TPL-PCP-001_Template-Documento-de-Design.docx,docx,https://drive.google.com/file/d/1RHOuxY9-cS4dat55nWo3YnowBN9UP867/view?usp=drivesdk
03_templates,TPL-REQ-001_Template-Documento-de-Requisitos.docx,docx,https://drive.google.com/file/d/1CjKEf7sYu272riKdQQ5L4YbyfM4KqNe0/view?usp=drivesdk
03_templates,TPL-REQ-002_Template-Matriz-de-Rastreabilidade.docx,docx,https://drive.google.com/file/d/1wRjUaxEY4zg7_yfZTTfB01iEETZiYN5T/view?usp=drivesdk
03_templates,TPL-VV-001_Template-Plano-de-Verificacao-e-Validacao.docx,docx,https://drive.google.com/file/d/11M6t6WkYgji_gubuFgyKj7WmRvLYnnYI/view?usp=drivesdk
03_templates,TPL-VV-002_Template-Registro-de-Revisao-por-Pares.docx,docx,https://drive.google.com/file/d/1CQTzVoOCaj1aSZ3l16gqSykf09IwYRtj/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,00_INDICE-AASPAP01_Mapa-de-Registros.docx,docx,https://drive.google.com/file/d/1q7KCwgqQ5w0lUx4x26DYYFCx5gMmuglM/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,ADAP-AASPAP01-001_Registro-de-Adaptacao.docx,docx,https://drive.google.com/file/d/1K4Q7uEZFdHy_r6nJhALzqCO-aH9fSg0o/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,ATA-AASPAP01-001_Ata-Alinhamento-Fluxo-CNJ.docx,docx,https://drive.google.com/file/d/1xnhEepqAaUxgcarVXwtyBITSBo4LiLVq/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,CR-AASPAP01-001_Change-Request.docx,docx,https://drive.google.com/file/d/1p94Xtd_QSXghPgdDQiaj9m8JoArrHree/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,CR-AASPAP01-002_Change-Request.docx,docx,https://drive.google.com/file/d/1e495VArI_U_3TMW7KQc0p3GfqUiAek4a/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,GCO-AASPAP01-001_Registro-de-Configuracao.docx,docx,https://drive.google.com/file/d/1Rl6GXnN1H9mRl0V6bSYw9Pl_D-0THH_O/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,GDE-AASPAP01-001_Registro-de-Analise-de-Decisao.docx,docx,https://drive.google.com/file/d/1sDGfP0m6WdyKS4MYzHLLZNNQCyus0xJw/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,GEST-AASPAP01_Planilha-de-Gestao-do-Projeto.xlsx,xlsx,https://drive.google.com/file/d/1ZB2yOn7Pt1eviyaL1-XMCaiamiCql6gz/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,GQA-AASPAP01-001_Registro-de-GQA.docx,docx,https://drive.google.com/file/d/19WE56UNWv-aVGiPL24PzStXvX1NuplXF/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,ITP-AASPAP01-001_Estrategia-de-Integracao.docx,docx,https://drive.google.com/file/d/1cSlw8Kqi3fPboNG2KDMoRuWYLii5s1Qm/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,MED-AASPAP01-001_Registro-de-Medicao.docx,docx,https://drive.google.com/file/d/17jDdprZJdXPr-muQAYnQNXoMNU1VOSAV/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,PCP-AASPAP01-001_Documento-de-Design.docx,docx,https://drive.google.com/file/d/1MkxkyhMa5O4d9ee1JVYHNZV59BxiHU3m/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,PLA-AASPAP01-001_Plano-de-Projeto.docx,docx,https://drive.google.com/file/d/1D7tchEQKaqeZMZ2vNNa0wgnXevI-Br8H/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,RAC-AASPAP01-001_Relatorio-de-Acompanhamento.docx,docx,https://drive.google.com/file/d/155bBfagbpaZdKxRSqXQzkmZSQkmCHNt0/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,RASTR-AASPAP01-001_Matriz-de-Rastreabilidade.docx,docx,https://drive.google.com/file/d/1nqVdGrDD5CJ_3zPB3IehiBEhuDKSxZlS/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,REL-VV-AASPAP01-001_Relatorio-de-Execucao-de-Testes.docx,docx,https://drive.google.com/file/d/1TzIWFlAfEpqwWO0JIF3DACKPzPgC2sPV/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,REQ-AASPAP01-001_Documento-de-Requisitos.docx,docx,https://drive.google.com/file/d/1kV_N6w7TU5Cwe5SYWL3tcptlcr4oazYt/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,REV-AASPAP01-001_Registro-de-Revisao-por-Pares.docx,docx,https://drive.google.com/file/d/1b2XcTr_rrP1ntnEzllbB2gHNdFaEaLsQ/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,TAP-AASPAP01-001_Termo-de-Abertura.docx,docx,https://drive.google.com/file/d/1vj9arb9bNdy4z2DLV7U8sEbBp4GuIMHw/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais,VV-AASPAP01-001_Plano-de-VV.docx,docx,https://drive.google.com/file/d/11Vx-bMcQfovROo3RwVY7-dQClEVcFp1e/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,andamentos_ApisParceiras.jpg,jpg,https://drive.google.com/file/d/1di53G9P1RLs2VtusPoTRJay3fOG7c1L2/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,andamentos_arquitetura.svg,svg,https://drive.google.com/file/d/1hwULBFas2YSOqC3BIi0dVbGelx-U-Mp0/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,andamentos_historicoPreservado.jpeg,jpeg,https://drive.google.com/file/d/1Nx8OtLH1th3lVs3pRHd1yJjZ-l5jsR4s/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,andamentos_historicoPreservado1.jpg,jpg,https://drive.google.com/file/d/1zXIyrAtYHinI0oETDvC-PQ0sgF4Z6Fjy/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,andamentos_historicoPreservado2.jpg,jpg,https://drive.google.com/file/d/1l8sW0voE8k-y6ew1dTbd5aePqlr5UffM/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,andamentos_retry_webhook.jpeg,jpeg,https://drive.google.com/file/d/15lXDLmdWW620DS2qE9-qwIEzvAgmpGlW/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,devops_andamentos_branches.png,png,https://drive.google.com/file/d/1YaLDEwp8l6FoyFTaMTEWMmeLqbT6gfnx/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,devops_andamentos_commits.png,png,https://drive.google.com/file/d/1fkX4bzm8iFGVFOtMtIK4rEtjZhF1bomY/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,devops_andamentos_estrutura.png,png,https://drive.google.com/file/d/1w_Hj4o0YyA0oYRSE1_5d1VE67_JisEFY/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,devops_andamentos_pipeline_ci.png,png,https://drive.google.com/file/d/1p1VezDp1C0XYPSOjQk978cQmrvGVrTWo/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,devops_andamentos_pipeline_cicd.png,png,https://drive.google.com/file/d/1Zf1k0e36NnyOxq-zv6Rrz22N5tvM8x49/view?usp=drivesdk
04_registros/AASP_Andamento-Processuais/evidencias,devops_andamentos_pr_detail_1.png,png,https://drive.google.com/file/d/1FSv2kmZbKNXOk5tjctohUFqHtn-BZ9bu/view?usp=drivesdk
